Dataset,Emotion,File
CREMA-D,Disgust,1002_IWL_DIS_XX
CREMA-D,Fearful,1002_IWL_FEA_XX
CREMA-D,Happy,1002_IWL_HAP_XX
CREMA-D,Neutral,1002_IWL_NEU_XX
CREMA-D,Sad,1002_IWL_SAD_XX
CREMA-D,Angry,1002_IWW_ANG_XX
CREMA-D,Disgust,1002_IWW_DIS_XX
CREMA-D,Fearful,1002_IWW_FEA_XX
CREMA-D,Happy,1002_IWW_HAP_XX
CREMA-D,Neutral,1002_IWW_NEU_XX
CREMA-D,Sad,1002_IWW_SAD_XX
CREMA-D,Angry,1002_MTI_ANG_XX
CREMA-D,Disgust,1002_MTI_DIS_XX
CREMA-D,Fearful,1002_MTI_FEA_XX
CREMA-D,Happy,1002_MTI_HAP_XX
CREMA-D,Neutral,1002_MTI_NEU_XX
CREMA-D,Sad,1002_MTI_SAD_XX
CREMA-D,Angry,1002_TAI_ANG_XX
CREMA-D,Disgust,1002_TAI_DIS_XX
CREMA-D,Fearful,1002_TAI_FEA_XX
CREMA-D,Happy,1002_TAI_HAP_XX
CREMA-D,Neutral,1002_TAI_NEU_XX
CREMA-D,Sad,1002_TAI_SAD_XX
CREMA-D,Angry,1002_TIE_ANG_XX
CREMA-D,Disgust,1002_TIE_DIS_XX
CREMA-D,Fearful,1002_TIE_FEA_XX
CREMA-D,Happy,1002_TIE_HAP_XX
CREMA-D,Sad,1002_TIE_SAD_XX
CREMA-D,Angry,1002_TSI_ANG_XX
CREMA-D,Disgust,1002_TSI_DIS_XX
CREMA-D,Fearful,1002_TSI_FEA_XX
CREMA-D,Happy,1002_TSI_HAP_XX
CREMA-D,Neutral,1002_TSI_NEU_XX
CREMA-D,Sad,1002_TSI_SAD_XX
CREMA-D,Angry,1002_WSI_ANG_XX
CREMA-D,Disgust,1002_WSI_DIS_XX
CREMA-D,Fearful,1002_WSI_FEA_XX
CREMA-D,Happy,1002_WSI_HAP_XX
CREMA-D,Neutral,1002_WSI_NEU_XX
CREMA-D,Sad,1002_WSI_SAD_XX
CREMA-D,Angry,1003_DFA_ANG_XX
CREMA-D,Disgust,1003_DFA_DIS_XX
CREMA-D,Fearful,1003_DFA_FEA_XX
CREMA-D,Happy,1003_DFA_HAP_XX
CREMA-D,Neutral,1003_DFA_NEU_XX
CREMA-D,Sad,1003_DFA_SAD_XX
CREMA-D,Angry,1003_IEO_ANG_HI
CREMA-D,Angry,1003_IEO_ANG_LO
CREMA-D,Angry,1003_IEO_ANG_MD
CREMA-D,Disgust,1003_IEO_DIS_HI
CREMA-D,Disgust,1003_IEO_DIS_LO
CREMA-D,Disgust,1003_IEO_DIS_MD
CREMA-D,Fearful,1003_IEO_FEA_HI
CREMA-D,Fearful,1003_IEO_FEA_LO
CREMA-D,Fearful,1003_IEO_FEA_MD
CREMA-D,Happy,1003_IEO_HAP_HI
CREMA-D,Happy,1003_IEO_HAP_LO
CREMA-D,Happy,1003_IEO_HAP_MD
CREMA-D,Neutral,1003_IEO_NEU_XX
CREMA-D,Sad,1003_IEO_SAD_HI
CREMA-D,Sad,1003_IEO_SAD_LO
CREMA-D,Sad,1003_IEO_SAD_MD
CREMA-D,Angry,1003_IOM_ANG_XX
CREMA-D,Disgust,1003_IOM_DIS_XX
CREMA-D,Fearful,1003_IOM_FEA_XX
CREMA-D,Happy,1003_IOM_HAP_XX
CREMA-D,Neutral,1003_IOM_NEU_XX
CREMA-D,Sad,1003_IOM_SAD_XX
CREMA-D,Angry,1003_ITH_ANG_XX
CREMA-D,Disgust,1003_ITH_DIS_XX
CREMA-D,Fearful,1003_ITH_FEA_XX
CREMA-D,Happy,1003_ITH_HAP_XX
CREMA-D,Neutral,1003_ITH_NEU_XX
CREMA-D,Sad,1003_ITH_SAD_XX
CREMA-D,Angry,1003_ITS_ANG_XX
CREMA-D,Disgust,1003_ITS_DIS_XX
CREMA-D,Fearful,1003_ITS_FEA_XX
CREMA-D,Happy,1003_ITS_HAP_XX
CREMA-D,Neutral,1003_ITS_NEU_XX
CREMA-D,Sad,1003_ITS_SAD_XX
CREMA-D,Angry,1003_IWL_ANG_XX
CREMA-D,Disgust,1003_IWL_DIS_XX
CREMA-D,Fearful,1003_IWL_FEA_XX
CREMA-D,Happy,1003_IWL_HAP_XX
CREMA-D,Neutral,1003_IWL_NEU_XX
CREMA-D,Sad,1003_IWL_SAD_XX
CREMA-D,Angry,1003_IWW_ANG_XX
CREMA-D,Disgust,1003_IWW_DIS_XX
CREMA-D,Fearful,1003_IWW_FEA_XX
CREMA-D,Happy,1003_IWW_HAP_XX
CREMA-D,Neutral,1003_IWW_NEU_XX
CREMA-D,Sad,1003_IWW_SAD_XX
CREMA-D,Angry,1003_MTI_ANG_XX
CREMA-D,Disgust,1003_MTI_DIS_XX
CREMA-D,Fearful,1003_MTI_FEA_XX
CREMA-D,Happy,1003_MTI_HAP_XX
CREMA-D,Neutral,1003_MTI_NEU_XX
CREMA-D,Sad,1003_MTI_SAD_XX
CREMA-D,Angry,1003_TAI_ANG_XX
CREMA-D,Disgust,1003_TAI_DIS_XX
CREMA-D,Fearful,1003_TAI_FEA_XX
CREMA-D,Happy,1003_TAI_HAP_XX
CREMA-D,Neutral,1003_TAI_NEU_XX
CREMA-D,Sad,1003_TAI_SAD_XX
CREMA-D,Angry,1003_TIE_ANG_XX
CREMA-D,Disgust,1003_TIE_DIS_XX
CREMA-D,Fearful,1003_TIE_FEA_XX
CREMA-D,Happy,1003_TIE_HAP_XX
CREMA-D,Neutral,1003_TIE_NEU_XX
CREMA-D,Sad,1003_TIE_SAD_XX
CREMA-D,Angry,1003_TSI_ANG_XX
CREMA-D,Disgust,1003_TSI_DIS_XX
CREMA-D,Fearful,1003_TSI_FEA_XX
CREMA-D,Happy,1003_TSI_HAP_XX
CREMA-D,Neutral,1003_TSI_NEU_XX
CREMA-D,Sad,1003_TSI_SAD_XX
CREMA-D,Angry,1003_WSI_ANG_XX
CREMA-D,Disgust,1003_WSI_DIS_XX
CREMA-D,Fearful,1003_WSI_FEA_XX
CREMA-D,Happy,1003_WSI_HAP_XX
CREMA-D,Neutral,1003_WSI_NEU_XX
CREMA-D,Sad,1003_WSI_SAD_XX
CREMA-D,Angry,1004_DFA_ANG_XX
CREMA-D,Disgust,1004_DFA_DIS_XX
CREMA-D,Fearful,1004_DFA_FEA_XX
CREMA-D,Happy,1004_DFA_HAP_XX
CREMA-D,Neutral,1004_DFA_NEU_XX
CREMA-D,Sad,1004_DFA_SAD_XX
CREMA-D,Angry,1004_IEO_ANG_HI
CREMA-D,Angry,1004_IEO_ANG_LO
CREMA-D,Angry,1004_IEO_ANG_MD
CREMA-D,Disgust,1004_IEO_DIS_HI
CREMA-D,Disgust,1004_IEO_DIS_LO
CREMA-D,Disgust,1004_IEO_DIS_MD
CREMA-D,Fearful,1004_IEO_FEA_HI
CREMA-D,Fearful,1004_IEO_FEA_LO
CREMA-D,Fearful,1004_IEO_FEA_MD
CREMA-D,Happy,1004_IEO_HAP_HI
CREMA-D,Happy,1004_IEO_HAP_LO
CREMA-D,Happy,1004_IEO_HAP_MD
CREMA-D,Neutral,1004_IEO_NEU_XX
CREMA-D,Sad,1004_IEO_SAD_HI
CREMA-D,Sad,1004_IEO_SAD_LO
CREMA-D,Sad,1004_IEO_SAD_MD
CREMA-D,Angry,1004_IOM_ANG_XX
CREMA-D,Disgust,1004_IOM_DIS_XX
CREMA-D,Fearful,1004_IOM_FEA_XX
CREMA-D,Happy,1004_IOM_HAP_XX
CREMA-D,Neutral,1004_IOM_NEU_XX
CREMA-D,Sad,1004_IOM_SAD_XX
CREMA-D,Angry,1004_ITH_ANG_XX
CREMA-D,Disgust,1004_ITH_DIS_XX
CREMA-D,Fearful,1004_ITH_FEA_XX
CREMA-D,Happy,1004_ITH_HAP_XX
CREMA-D,Neutral,1004_ITH_NEU_XX
CREMA-D,Sad,1004_ITH_SAD_XX
CREMA-D,Angry,1004_ITS_ANG_XX
CREMA-D,Disgust,1004_ITS_DIS_XX
CREMA-D,Fearful,1004_ITS_FEA_XX
CREMA-D,Happy,1004_ITS_HAP_XX
CREMA-D,Neutral,1004_ITS_NEU_XX
CREMA-D,Sad,1004_ITS_SAD_XX
CREMA-D,Angry,1004_IWL_ANG_XX
CREMA-D,Disgust,1004_IWL_DIS_XX
CREMA-D,Fearful,1004_IWL_FEA_XX
CREMA-D,Happy,1004_IWL_HAP_XX
CREMA-D,Neutral,1004_IWL_NEU_XX
CREMA-D,Sad,1004_IWL_SAD_XX
CREMA-D,Angry,1004_IWW_ANG_XX
CREMA-D,Disgust,1004_IWW_DIS_XX
CREMA-D,Fearful,1004_IWW_FEA_XX
CREMA-D,Happy,1004_IWW_HAP_XX
CREMA-D,Neutral,1004_IWW_NEU_XX
CREMA-D,Sad,1004_IWW_SAD_XX
CREMA-D,Angry,1004_MTI_ANG_XX
CREMA-D,Disgust,1004_MTI_DIS_XX
CREMA-D,Fearful,1004_MTI_FEA_XX
CREMA-D,Happy,1004_MTI_HAP_XX
CREMA-D,Neutral,1004_MTI_NEU_XX
CREMA-D,Sad,1004_MTI_SAD_XX
CREMA-D,Angry,1004_TAI_ANG_XX
CREMA-D,Disgust,1004_TAI_DIS_XX
CREMA-D,Fearful,1004_TAI_FEA_XX
CREMA-D,Happy,1004_TAI_HAP_XX
CREMA-D,Neutral,1004_TAI_NEU_XX
CREMA-D,Sad,1004_TAI_SAD_XX
CREMA-D,Angry,1004_TIE_ANG_XX
CREMA-D,Disgust,1004_TIE_DIS_XX
CREMA-D,Fearful,1004_TIE_FEA_XX
CREMA-D,Happy,1004_TIE_HAP_XX
CREMA-D,Neutral,1004_TIE_NEU_XX
CREMA-D,Sad,1004_TIE_SAD_XX
CREMA-D,Angry,1004_TSI_ANG_XX
CREMA-D,Disgust,1004_TSI_DIS_XX
CREMA-D,Fearful,1004_TSI_FEA_XX
CREMA-D,Happy,1004_TSI_HAP_XX
CREMA-D,Neutral,1004_TSI_NEU_XX
CREMA-D,Sad,1004_TSI_SAD_XX
CREMA-D,Angry,1004_WSI_ANG_XX
CREMA-D,Disgust,1004_WSI_DIS_XX
CREMA-D,Fearful,1004_WSI_FEA_XX
CREMA-D,Happy,1004_WSI_HAP_XX
CREMA-D,Neutral,1004_WSI_NEU_XX
CREMA-D,Sad,1004_WSI_SAD_XX
CREMA-D,Angry,1005_DFA_ANG_XX
CREMA-D,Disgust,1005_DFA_DIS_XX
CREMA-D,Fearful,1005_DFA_FEA_XX
CREMA-D,Happy,1005_DFA_HAP_XX
CREMA-D,Neutral,1005_DFA_NEU_XX
CREMA-D,Sad,1005_DFA_SAD_XX
CREMA-D,Angry,1005_IEO_ANG_HI
CREMA-D,Angry,1005_IEO_ANG_LO
CREMA-D,Angry,1005_IEO_ANG_MD
CREMA-D,Disgust,1005_IEO_DIS_HI
CREMA-D,Disgust,1005_IEO_DIS_LO
CREMA-D,Disgust,1005_IEO_DIS_MD
CREMA-D,Fearful,1005_IEO_FEA_HI
CREMA-D,Fearful,1005_IEO_FEA_LO
CREMA-D,Fearful,1005_IEO_FEA_MD
CREMA-D,Happy,1005_IEO_HAP_HI
CREMA-D,Happy,1005_IEO_HAP_LO
CREMA-D,Happy,1005_IEO_HAP_MD
CREMA-D,Neutral,1005_IEO_NEU_XX
CREMA-D,Sad,1005_IEO_SAD_HI
CREMA-D,Sad,1005_IEO_SAD_LO
CREMA-D,Sad,1005_IEO_SAD_MD
CREMA-D,Angry,1005_IOM_ANG_XX
CREMA-D,Disgust,1005_IOM_DIS_XX
CREMA-D,Fearful,1005_IOM_FEA_XX
CREMA-D,Happy,1005_IOM_HAP_XX
CREMA-D,Neutral,1005_IOM_NEU_XX
CREMA-D,Sad,1005_IOM_SAD_XX
CREMA-D,Angry,1005_ITH_ANG_XX
CREMA-D,Disgust,1005_ITH_DIS_XX
CREMA-D,Fearful,1005_ITH_FEA_XX
CREMA-D,Happy,1005_ITH_HAP_XX
CREMA-D,Neutral,1005_ITH_NEU_XX
CREMA-D,Sad,1005_ITH_SAD_XX
CREMA-D,Angry,1005_ITS_ANG_XX
CREMA-D,Disgust,1005_ITS_DIS_XX
CREMA-D,Fearful,1005_ITS_FEA_XX
CREMA-D,Happy,1005_ITS_HAP_XX
CREMA-D,Neutral,1005_ITS_NEU_XX
CREMA-D,Sad,1005_ITS_SAD_XX
CREMA-D,Angry,1005_IWL_ANG_XX
CREMA-D,Disgust,1005_IWL_DIS_XX
CREMA-D,Fearful,1005_IWL_FEA_XX
CREMA-D,Happy,1005_IWL_HAP_XX
CREMA-D,Neutral,1005_IWL_NEU_XX
CREMA-D,Sad,1005_IWL_SAD_XX
CREMA-D,Angry,1005_IWW_ANG_XX
CREMA-D,Disgust,1005_IWW_DIS_XX
CREMA-D,Fearful,1005_IWW_FEA_XX
CREMA-D,Happy,1005_IWW_HAP_XX
CREMA-D,Neutral,1005_IWW_NEU_XX
CREMA-D,Sad,1005_IWW_SAD_XX
CREMA-D,Angry,1005_MTI_ANG_XX
CREMA-D,Disgust,1005_MTI_DIS_XX
CREMA-D,Fearful,1005_MTI_FEA_XX
CREMA-D,Happy,1005_MTI_HAP_XX
CREMA-D,Neutral,1005_MTI_NEU_XX
CREMA-D,Sad,1005_MTI_SAD_XX
CREMA-D,Angry,1005_TAI_ANG_XX
CREMA-D,Disgust,1005_TAI_DIS_XX
CREMA-D,Fearful,1005_TAI_FEA_XX
CREMA-D,Happy,1005_TAI_HAP_XX
CREMA-D,Neutral,1005_TAI_NEU_XX
CREMA-D,Sad,1005_TAI_SAD_XX
CREMA-D,Angry,1005_TIE_ANG_XX
CREMA-D,Disgust,1005_TIE_DIS_XX
CREMA-D,Fearful,1005_TIE_FEA_XX
CREMA-D,Happy,1005_TIE_HAP_XX
CREMA-D,Neutral,1005_TIE_NEU_XX
CREMA-D,Sad,1005_TIE_SAD_XX
CREMA-D,Angry,1005_TSI_ANG_XX
CREMA-D,Disgust,1005_TSI_DIS_XX
CREMA-D,Fearful,1005_TSI_FEA_XX
CREMA-D,Happy,1005_TSI_HAP_XX
CREMA-D,Neutral,1005_TSI_NEU_XX
CREMA-D,Sad,1005_TSI_SAD_XX
CREMA-D,Angry,1005_WSI_ANG_XX
CREMA-D,Disgust,1005_WSI_DIS_XX
CREMA-D,Fearful,1005_WSI_FEA_XX
CREMA-D,Happy,1005_WSI_HAP_XX
CREMA-D,Neutral,1005_WSI_NEU_XX
CREMA-D,Sad,1005_WSI_SAD_XX
CREMA-D,Angry,1006_DFA_ANG_XX
CREMA-D,Disgust,1006_DFA_DIS_XX
CREMA-D,Fearful,1006_DFA_FEA_XX
CREMA-D,Happy,1006_DFA_HAP_XX
CREMA-D,Neutral,1006_DFA_NEU_XX
CREMA-D,Sad,1006_DFA_SAD_XX
CREMA-D,Angry,1006_IEO_ANG_HI
CREMA-D,Angry,1006_IEO_ANG_LO
CREMA-D,Angry,1006_IEO_ANG_MD
CREMA-D,Disgust,1006_IEO_DIS_HI
CREMA-D,Disgust,1006_IEO_DIS_LO
CREMA-D,Disgust,1006_IEO_DIS_MD
CREMA-D,Fearful,1006_IEO_FEA_HI
CREMA-D,Fearful,1006_IEO_FEA_LO
CREMA-D,Fearful,1006_IEO_FEA_MD
CREMA-D,Happy,1006_IEO_HAP_HI
CREMA-D,Happy,1006_IEO_HAP_LO
CREMA-D,Happy,1006_IEO_HAP_MD
CREMA-D,Neutral,1006_IEO_NEU_XX
CREMA-D,Sad,1006_IEO_SAD_HI
CREMA-D,Sad,1006_IEO_SAD_LO
CREMA-D,Sad,1006_IEO_SAD_MD
CREMA-D,Angry,1006_IOM_ANG_XX
CREMA-D,Disgust,1006_IOM_DIS_XX
CREMA-D,Fearful,1006_IOM_FEA_XX
CREMA-D,Happy,1006_IOM_HAP_XX
CREMA-D,Neutral,1006_IOM_NEU_XX
CREMA-D,Sad,1006_IOM_SAD_XX
CREMA-D,Angry,1006_ITH_ANG_XX
CREMA-D,Disgust,1006_ITH_DIS_XX
CREMA-D,Fearful,1006_ITH_FEA_XX
CREMA-D,Happy,1006_ITH_HAP_XX
CREMA-D,Neutral,1006_ITH_NEU_XX
CREMA-D,Sad,1006_ITH_SAD_XX
CREMA-D,Angry,1006_ITS_ANG_XX
CREMA-D,Disgust,1006_ITS_DIS_XX
CREMA-D,Fearful,1006_ITS_FEA_XX
CREMA-D,Happy,1006_ITS_HAP_XX
CREMA-D,Neutral,1006_ITS_NEU_XX
CREMA-D,Sad,1006_ITS_SAD_XX
CREMA-D,Angry,1006_IWL_ANG_XX
CREMA-D,Disgust,1006_IWL_DIS_XX
CREMA-D,Fearful,1006_IWL_FEA_XX
CREMA-D,Happy,1006_IWL_HAP_XX
CREMA-D,Neutral,1006_IWL_NEU_XX
CREMA-D,Sad,1006_IWL_SAD_XX
CREMA-D,Angry,1006_IWW_ANG_XX
CREMA-D,Disgust,1006_IWW_DIS_XX
CREMA-D,Fearful,1006_IWW_FEA_XX
CREMA-D,Happy,1006_IWW_HAP_XX
CREMA-D,Neutral,1006_IWW_NEU_XX
CREMA-D,Sad,1006_IWW_SAD_XX
CREMA-D,Angry,1006_MTI_ANG_XX
CREMA-D,Disgust,1006_MTI_DIS_XX
CREMA-D,Fearful,1006_MTI_FEA_XX
CREMA-D,Happy,1006_MTI_HAP_XX
CREMA-D,Neutral,1006_MTI_NEU_XX
CREMA-D,Sad,1006_MTI_SAD_XX
CREMA-D,Angry,1006_TAI_ANG_XX
CREMA-D,Disgust,1006_TAI_DIS_XX
CREMA-D,Fearful,1006_TAI_FEA_XX
CREMA-D,Happy,1006_TAI_HAP_XX
CREMA-D,Neutral,1006_TAI_NEU_XX
CREMA-D,Sad,1006_TAI_SAD_XX
CREMA-D,Angry,1006_TIE_ANG_XX
CREMA-D,Disgust,1006_TIE_DIS_XX
CREMA-D,Fearful,1006_TIE_FEA_XX
CREMA-D,Happy,1006_TIE_HAP_XX
CREMA-D,Neutral,1006_TIE_NEU_XX
CREMA-D,Sad,1006_TIE_SAD_XX
CREMA-D,Angry,1006_TSI_ANG_XX
CREMA-D,Disgust,1006_TSI_DIS_XX
CREMA-D,Fearful,1006_TSI_FEA_XX
CREMA-D,Happy,1006_TSI_HAP_XX
CREMA-D,Neutral,1006_TSI_NEU_XX
CREMA-D,Sad,1006_TSI_SAD_XX
CREMA-D,Angry,1006_WSI_ANG_XX
CREMA-D,Disgust,1006_WSI_DIS_XX
CREMA-D,Fearful,1006_WSI_FEA_XX
CREMA-D,Happy,1006_WSI_HAP_XX
CREMA-D,Neutral,1006_WSI_NEU_XX
CREMA-D,Sad,1006_WSI_SAD_XX
CREMA-D,Angry,1007_DFA_ANG_XX
CREMA-D,Disgust,1007_DFA_DIS_XX
CREMA-D,Fearful,1007_DFA_FEA_XX
CREMA-D,Happy,1007_DFA_HAP_XX
CREMA-D,Neutral,1007_DFA_NEU_XX
CREMA-D,Sad,1007_DFA_SAD_XX
CREMA-D,Angry,1007_IEO_ANG_HI
CREMA-D,Angry,1007_IEO_ANG_LO
CREMA-D,Angry,1007_IEO_ANG_MD
CREMA-D,Disgust,1007_IEO_DIS_HI
CREMA-D,Disgust,1007_IEO_DIS_LO
CREMA-D,Disgust,1007_IEO_DIS_MD
CREMA-D,Fearful,1007_IEO_FEA_HI
CREMA-D,Fearful,1007_IEO_FEA_LO
CREMA-D,Fearful,1007_IEO_FEA_MD
CREMA-D,Happy,1007_IEO_HAP_HI
CREMA-D,Happy,1007_IEO_HAP_LO
CREMA-D,Happy,1007_IEO_HAP_MD
CREMA-D,Neutral,1007_IEO_NEU_XX
CREMA-D,Sad,1007_IEO_SAD_HI
CREMA-D,Sad,1007_IEO_SAD_LO
CREMA-D,Sad,1007_IEO_SAD_MD
CREMA-D,Angry,1007_IOM_ANG_XX
CREMA-D,Disgust,1007_IOM_DIS_XX
CREMA-D,Fearful,1007_IOM_FEA_XX
CREMA-D,Happy,1007_IOM_HAP_XX
CREMA-D,Neutral,1007_IOM_NEU_XX
CREMA-D,Sad,1007_IOM_SAD_XX
CREMA-D,Angry,1007_ITH_ANG_XX
CREMA-D,Disgust,1007_ITH_DIS_XX
CREMA-D,Fearful,1007_ITH_FEA_XX
CREMA-D,Happy,1007_ITH_HAP_XX
CREMA-D,Neutral,1007_ITH_NEU_XX
CREMA-D,Sad,1007_ITH_SAD_XX
CREMA-D,Angry,1007_ITS_ANG_XX
CREMA-D,Disgust,1007_ITS_DIS_XX
CREMA-D,Fearful,1007_ITS_FEA_XX
CREMA-D,Happy,1007_ITS_HAP_XX
CREMA-D,Neutral,1007_ITS_NEU_XX
CREMA-D,Sad,1007_ITS_SAD_XX
CREMA-D,Angry,1007_IWL_ANG_XX
CREMA-D,Disgust,1007_IWL_DIS_XX
CREMA-D,Fearful,1007_IWL_FEA_XX
CREMA-D,Happy,1007_IWL_HAP_XX
CREMA-D,Neutral,1007_IWL_NEU_XX
CREMA-D,Sad,1007_IWL_SAD_XX
CREMA-D,Angry,1007_IWW_ANG_XX
CREMA-D,Disgust,1007_IWW_DIS_XX
CREMA-D,Fearful,1007_IWW_FEA_XX
CREMA-D,Happy,1007_IWW_HAP_XX
CREMA-D,Neutral,1007_IWW_NEU_XX
CREMA-D,Sad,1007_IWW_SAD_XX
CREMA-D,Angry,1007_MTI_ANG_XX
CREMA-D,Disgust,1007_MTI_DIS_XX
CREMA-D,Fearful,1007_MTI_FEA_XX
CREMA-D,Happy,1007_MTI_HAP_XX
CREMA-D,Neutral,1007_MTI_NEU_XX
